 variables="r","z","apcr","apci"
 zone t= "zone 1",i=232 , j=161 , f= block
  0.0000E+00 -1.2000E+00  0.0000E+00
  0.0000E+00 -1.1607E+00  0.0000E+00
  0.0000E+00 -1.0821E+00  0.0000E+00
  0.0000E+00 -1.0036E+00  0.0000E+00
  0.0000E+00 -9.2500E-01  0.0000E+00
  0.0000E+00 -8.4643E-01  0.0000E+00
  0.0000E+00 -7.6786E-01  0.0000E+00
  0.0000E+00 -6.8929E-01  0.0000E+00
  0.0000E+00 -6.1071E-01  0.0000E+00
  0.0000E+00 -5.3214E-01  0.0000E+00
  0.0000E+00 -4.5357E-01  0.0000E+00
  0.0000E+00 -3.7500E-01  0.0000E+00
  0.0000E+00 -2.9643E-01  0.0000E+00
  0.0000E+00 -2.1786E-01  0.0000E+00
  0.0000E+00 -1.3929E-01  0.0000E+00
  0.0000E+00 -9.7750E-02  0.0000E+00
  0.0000E+00 -9.3250E-02  0.0000E+00
  0.0000E+00 -8.8750E-02  0.0000E+00
  0.0000E+00 -8.4250E-02  0.0000E+00
  0.0000E+00 -7.9750E-02  0.0000E+00
  0.0000E+00 -7.5250E-02  0.0000E+00
  0.0000E+00 -7.0750E-02  0.0000E+00
  0.0000E+00 -6.6250E-02  0.0000E+00
  0.0000E+00 -6.1750E-02  0.0000E+00
  0.0000E+00 -5.7250E-02  0.0000E+00
  0.0000E+00 -5.1875E-02  0.0000E+00
  0.0000E+00 -4.5625E-02  0.0000E+00
  0.0000E+00 -3.9375E-02  0.0000E+00
  0.0000E+00 -3.3125E-02  0.0000E+00
  0.0000E+00 -2.9000E-02  0.0000E+00
  0.0000E+00 -2.7000E-02  0.0000E+00
  0.0000E+00 -2.5000E-02  0.0000E+00
  0.0000E+00 -2.3000E-02  0.0000E+00
  0.0000E+00 -2.1000E-02  0.0000E+00
  0.0000E+00 -1.8500E-02  0.0000E+00
  0.0000E+00 -1.5500E-02  0.0000E+00
  0.0000E+00 -1.2500E-02  0.0000E+00
  0.0000E+00 -9.5000E-03  0.0000E+00
  0.0000E+00 -6.5000E-03  0.0000E+00
  0.0000E+00 -4.5000E-03  0.0000E+00
  0.0000E+00 -3.5000E-03  0.0000E+00
  0.0000E+00 -2.5000E-03  0.0000E+00
  0.0000E+00 -1.5000E-03  0.0000E+00
  0.0000E+00 -5.0000E-04  0.0000E+00
  0.0000E+00  4.1667E-04  0.0000E+00
  0.0000E+00  1.2500E-03  0.0000E+00
  0.0000E+00  2.0833E-03  0.0000E+00
  0.0000E+00  2.9167E-03  0.0000E+00
  0.0000E+00  3.7500E-03  0.0000E+00
  0.0000E+00  4.5833E-03  0.0000E+00
  0.0000E+00  6.2500E-03  0.0000E+00
  0.0000E+00  8.7500E-03  0.0000E+00
  0.0000E+00  1.1250E-02  0.0000E+00
  0.0000E+00  1.3750E-02  0.0000E+00
  0.0000E+00  1.6250E-02  0.0000E+00
  0.0000E+00  1.8750E-02  0.0000E+00
  0.0000E+00  2.0833E-02  0.0000E+00
  0.0000E+00  2.2500E-02  0.0000E+00
  0.0000E+00  2.4167E-02  0.0000E+00
  0.0000E+00  2.5833E-02  0.0000E+00
  0.0000E+00  2.7500E-02  0.0000E+00
  0.0000E+00  2.9167E-02  0.0000E+00
  0.0000E+00  3.1250E-02  0.0000E+00
  0.0000E+00  3.3750E-02  0.0000E+00
  0.0000E+00  3.6250E-02  0.0000E+00
  0.0000E+00  3.8750E-02  0.0000E+00
  0.0000E+00  4.1250E-02  0.0000E+00
  0.0000E+00  4.3750E-02  0.0000E+00
  0.0000E+00  4.5500E-02  0.0000E+00
  0.0000E+00  4.6500E-02  0.0000E+00
  0.0000E+00  4.7500E-02  0.0000E+00
  0.0000E+00  4.9375E-02  0.0000E+00
  0.0000E+00  5.2125E-02  0.0000E+00
  0.0000E+00  5.4875E-02  0.0000E+00
  0.0000E+00  5.7625E-02  0.0000E+00
  0.0000E+00  6.0375E-02  0.0000E+00
  0.0000E+00  6.3125E-02  0.0000E+00
  0.0000E+00  6.5875E-02  0.0000E+00
  0.0000E+00  6.8625E-02  0.0000E+00
  0.0000E+00  7.1000E-02  0.0000E+00
  0.0000E+00  7.3000E-02  0.0000E+00
  0.0000E+00  7.5000E-02  0.0000E+00
  0.0000E+00  7.7000E-02  0.0000E+00
  0.0000E+00  7.9000E-02  0.0000E+00
  0.0000E+00  8.1667E-02  0.0000E+00
  0.0000E+00  8.5000E-02  0.0000E+00
  0.0000E+00  8.8333E-02  0.0000E+00
  0.0000E+00  9.1667E-02  0.0000E+00
  0.0000E+00  9.5000E-02  0.0000E+00
  0.0000E+00  9.8333E-02  0.0000E+00
  0.0000E+00  1.0083E-01  0.0000E+00
  0.0000E+00  1.0250E-01  0.0000E+00
  0.0000E+00  1.0417E-01  0.0000E+00
  0.0000E+00  1.0583E-01  0.0000E+00
  0.0000E+00  1.0750E-01  0.0000E+00
  0.0000E+00  1.0917E-01  0.0000E+00
  0.0000E+00  1.1150E-01  0.0000E+00
  0.0000E+00  1.1450E-01  0.0000E+00
  0.0000E+00  1.1750E-01  0.0000E+00
  0.0000E+00  1.2050E-01  0.0000E+00
  0.0000E+00  1.2350E-01  0.0000E+00
  0.0000E+00  1.2650E-01  0.0000E+00
  0.0000E+00  1.2856E-01  0.0000E+00
  0.0000E+00  1.2969E-01  0.0000E+00
  0.0000E+00  1.3081E-01  0.0000E+00
  0.0000E+00  1.3194E-01  0.0000E+00
  0.0000E+00  1.3306E-01  0.0000E+00
  0.0000E+00  1.3419E-01  0.0000E+00
